appid,title,publisher_group,window_n,window_pos_rate,positive_reception,vader_compound,launch_delta,playtime_r,english_pct,franchise_seq_idx,cl_pc_specific_neg_rt,oc_score
1817190,Marvel's Spider-Man: Miles Morales,sie,4973,0.9367,1,0.1877,,-0.0118,37.9,1,0.021739130434782608,85.2258064516129
1888930,The Last of Us Part I,sie,5069,0.954,1,0.1582,,0.024,31.0,0,0.08163265306122448,81.75961538461539
1895880,Ratchet & Clank: Rift Apart,sie,5071,0.9097,1,0.3461,,0.047,55.2,0,0.1836734693877551,88.29464285714286
1971650,Octopath Traveler II,square_enix,4985,0.9089,1,0.1913,,0.0618,32.6,1,0.02040816326530612,85.09859154929578
2022670,Sonic Superstars,sega_atlus,3534,0.6862,0,0.2712,-0.0027,0.0474,73.2,1,0.0625,72.74545454545455
2161700,Persona 3 Reload,sega_atlus,4979,0.9484,1,0.1577,,0.0523,43.6,2,0.02,87.37640449438203
2195250,EA Sports FC 24,ea,5074,0.6372,0,0.0916,,0.0224,26.8,0,0.1,74.06153846153846
2322010,God of War Ragnarök,sie,5072,0.917,1,0.1666,,0.0534,42.6,1,0.04,92.0751879699248
2420110,Horizon Forbidden West,sie,4963,0.8336,1,0.2085,,0.0501,44.3,1,0.10204081632653061,88.16509433962264
2446550,Star Wars Outlaws,ubisoft,5094,0.2672,0,0.0781,0.0587,0.0768,87.0,0,0.16326530612244897,74.82105263157895
2515020,Final Fantasy XVI,square_enix,4981,0.7695,1,0.1908,,0.0983,48.0,0,0.2,87.21363636363637
2561580,Like a Dragon: Infinite Wealth,sega_atlus,5072,0.8671,1,0.2763,,0.1158,48.9,1,0.14,89.67391304347827
2669320,EA Sports FC 25,ea,4983,0.6089,0,0.0836,,-0.027,23.7,1,0.1836734693877551,76.10909090909091
2909400,Final Fantasy VII Rebirth,square_enix,5084,0.773,1,0.2015,,0.1079,43.1,1,0.12244897959183673,91.91176470588236
3035570,Assassin's Creed Mirage,ubisoft,5072,0.7778,1,0.1796,,0.1198,41.8,0,0.02,76.18627450980392
3159330,Assassin's Creed Shadows,ubisoft,5074,0.686,0,0.1171,,0.0875,35.6,1,0.10204081632653061,80.96666666666667
